DateID,PlateID,RunID,StrainID,WellID,RawInitialOD,RawMaxOD,RawFinalOD,TimeMaxOD,PredMaxOD,TimePredMaxOD,PredVMax,TimePredVMax,PosControl,NegControl,CarryingCapacity,GrowthRate,InitialOD,LagTime,AffineShift,DoubleTime,OptimizedGP
062724_RapidKO_SMU_Plate27,27,,,A1,0.119,0.647,0.635,6.33667,0.6349225249463901,6.64,0.26327706223526126,5.65,,,0.5823343155678614,2.3542335866317754,0.09379856338733059,4.287842871893305,0.14409786355986381,0.752455842951616,true
062724_RapidKO_SMU_Plate27,27,,,A2,0.122,0.709,0.558,6.50333,0.7043839584817421,6.32,0.2746502247671664,5.05,,,0.6288938911975283,2.429982004143029,0.09119836122922464,3.7248209395718956,0.14961685360069069,0.764892284442705,true
062724_RapidKO_SMU_Plate27,27,,,A3,0.122,0.645,0.641,6.50333,0.6305445572816946,23.09,0.28136990687093905,6.11,,,0.620084354168203,1.8727235093268058,0.1032803969598396,4.453484470782932,0.1455518138037421,0.7119295017481196,true
062724_RapidKO_SMU_Plate27,27,,,A4,0.12,0.734,0.732,20.33667,0.7207630237160304,23.3,0.2675042015966187,5.55,,,0.7061223021965256,1.0689381970026246,0.22492027868057712,4.5147475763152425,0.10883917547807535,0.7433601672059059,true
062724_RapidKO_SMU_Plate27,27,,,A5,0.116,0.622,0.476,6.50333,0.6148142060199882,6.37,0.2705255334658478,5.29,,,0.5545293572605522,2.609810668888941,0.08820616166279892,4.0854275074160835,0.13981342624465243,0.8266028809076656,true
062724_RapidKO_SMU_Plate27,27,,,A6,0.119,0.634,0.509,6.83667,0.6287314792154738,6.72,0.24718154660762492,5.43,,,0.5542823361838195,2.460643308487018,0.08964800726099326,4.14599522897727,0.142985372553535,0.8009052808384677,true
062724_RapidKO_SMU_Plate27,27,,,A7,0.117,0.612,0.476,6.33667,0.6079321798732855,6.47,0.2791911792618472,5.95,,,0.5436741489147732,2.2867144779995194,0.08847486568062468,4.229696595745877,0.141664342295582,0.7104659693197605,true
062724_RapidKO_SMU_Plate27,27,,,A8,0.12,0.657,0.587,7.67,0.6475485181688158,7.84,0.2772587670441331,5.46,,,0.6254386807696335,2.1649324607097618,0.0933936196089338,4.156286408917214,0.14446083003046722,0.7912526953799214,true
062724_RapidKO_SMU_Plate27,27,,,A9,0.121,0.609,0.603,7.67,0.6006012899257218,7.9,0.2610563753080609,6.16,,,0.5655508335289274,2.1415283656076505,0.09152728284829972,4.622419292996355,0.14287035000241677,0.6992081716071323,true
062724_RapidKO_SMU_Plate27,27,,,A10,0.117,0.654,0.654,24.00333,0.6413892543048588,23.82,0.2498384805102929,5.97,,,0.6248789775796023,1.7423669145567862,0.1050782044635502,4.519648190953198,0.13391828230889252,0.736595217954689,true
062724_RapidKO_SMU_Plate27,27,,,A11,0.118,0.581,0.439,8.00333,0.5755535620824469,7.26,0.23188217522734966,6.52,,,0.5044092500100464,2.2093473815618285,0.09070742798737295,4.83393740861749,0.1405933201887184,0.6252962372923705,true
062724_RapidKO_SMU_Plate27,27,,,A12,0.118,0.6,0.55,8.33667,0.5937683115499703,8.16,0.2507061067585222,6.56,,,0.5659187490856427,2.0344408603461805,0.10748847318503323,4.995820195801877,0.14712778502092175,0.6348312951516035,true
062724_RapidKO_SMU_Plate27,27,,,B1,0.118,0.616,0.579,7.67,0.6063779516160389,8.41,0.1745488862411314,6.81,,,0.5941960222598206,1.5061030960539925,0.10593456011104409,5.151990744773802,0.14068480894193988,0.5490636136884669,true
062724_RapidKO_SMU_Plate27,27,,,B2,0.121,0.674,0.57,7.17,0.6643736058479577,6.61,0.25212440099795086,5.03,,,0.6200704544224277,2.333784039847296,0.09161536839296222,3.899560106207488,0.14838723614935037,0.7592888275769158,true
062724_RapidKO_SMU_Plate27,27,,,B3,0.119,0.709,0.578,8.67,0.7040966130106878,8.32,0.2733790374911529,5.29,,,0.6483852485198751,2.3339258149244144,0.09407828909149543,4.167578632581616,0.14436220560293944,0.8847472278906798,true
062724_RapidKO_SMU_Plate27,27,,,B4,0.119,0.69,0.603,11.67,0.6790243684527196,11.49,0.24903812543791887,5.4,,,0.6549660238279412,1.8446981435247842,0.11263626824611132,4.250106632085716,0.1365684912551361,0.7150975525276472,true
062724_RapidKO_SMU_Plate27,27,,,B5,0.117,0.619,0.424,8.17,0.6082964665494576,7.66,0.2567521804940953,5.18,,,0.5308394665878242,2.7101346716937194,0.09456187156105615,4.080701043293727,0.140752768243587,0.7826565043799888,true
062724_RapidKO_SMU_Plate27,27,,,B6,0.119,0.649,0.545,11.17,0.6317279679496445,11.42,0.2248394857866205,5.36,,,0.6128645983298944,1.9175093283488724,0.10261717279762216,4.2841212993422975,0.13595137045574904,0.7898279522323941,true
062724_RapidKO_SMU_Plate27,27,,,B7,0.119,0.649,0.56,8.67,0.6387202138746833,8.54,0.2710402777403926,5.47,,,0.6122432432340938,2.1118817243628634,0.1023944860946756,4.186848410641594,0.13929560667974727,0.8065373213009154,true
062724_RapidKO_SMU_Plate27,27,,,B8,0.118,0.704,0.682,13.67,0.6934737959631174,13.71,0.2706542677338621,5.54,,,0.6888543521884319,1.3065738035936654,0.13478121638616294,4.146591231861122,0.12035457273149565,0.7461104970792847,true
